--Pokemon Base Stats & Types--
NUM|NAME      |TYPE             |  HP| ATK| DEF| SPE|SATK|SDEF|ABILITY1    |ABILITY2    |ITEM
 30|NIDORINA  |POISON           |  70|  62|  67|  56|  55|  55|Reckless    |Unburden    |
 31|NIDOQUEEN |POISON/GROUND    |  90|  92|  87|  76|  75|  85|Reckless    |Unburden    |
 32|NIDORAN♂  |POISON           |  46|  57|  40|  50|  40|  40|Liquid Ooze |Tinted Lens |TM31 (common), Awakening (rare)
 33|NIDORINO  |POISON           |  61|  72|  57|  65|  55|  55|Liquid Ooze |Tinted Lens |
 34|NIDOKING  |POISON/GROUND    |  81| 102|  77|  85|  85|  75|Liquid Ooze |Tinted Lens |TM14 (100%)
 35|CLEFAIRY  |NORMAL           |  70|  45|  48|  35|  60|  65|Shed Skin   | -          |
 36|CLEFABLE  |NORMAL           |  95|  70|  73|  60|  95|  90|Shed Skin   | -          |
 37|VULPIX    |FIRE             |  38|  41|  40|  65|  50|  65|Storm Drain | -          |Luck Incense (100%)
 38|NINETALES |FIRE             |  73|  76|  75| 100|  81| 100|Storm Drain | -          |TM55 (common), Meadow Plate (rare)
 39|JIGGLYPUFF|NORMAL           | 115|  45|  20|  20|  45|  25|Minus       | -          |
 40|WIGGLYTUFF|NORMAL           | 140|  70|  45|  45|  85|  50|Minus       | -          |
 41|ZUBAT     |POISON/FLYING    |  40|  45|  35|  55|  30|  40|Sand Veil   |Scrappy     |
 42|GOLBAT    |POISON/FLYING    |  75|  80|  70|  90|  65|  75|Sand Veil   |Scrappy     |Shed Shell (common), White Flute (rare)
 43|ODDISH    |GRASS/POISON     |  45|  50|  55|  30|  75|  65|Normalize   | -          |
 44|GLOOM     |GRASS/POISON     |  60|  65|  70|  40|  85|  75|Normalize   | -          |Sitrus Berry (100%)
 45|VILEPLUME |GRASS/POISON     |  75|  80|  85|  50| 110|  90|Rough Skin  | -          |TM83 (common)
 46|PARAS     |BUG/GRASS        |  35|  70|  55|  25|  45|  55|Water Absorb|Forewarn    |Black Sludge (100%)
 47|PARASECT  |BUG/GRASS        |  60|  95|  80|  30|  60|  80|Water Absorb|Forewarn    |TM01 (common), Damp Rock (rare)
 48|VENONAT   |BUG/POISON       |  60|  55|  50|  45|  40|  55|Solid Rock  | -          |
 49|VENOMOTH  |BUG/POISON       |  70|  65|  60|  90|  90|  75|Solid Rock  | -          |TM84 (common), TM43 (rare)
 50|DIGLETT   |GROUND           |  10|  55|  25|  95|  35|  45|Rock Head   | -          |
 51|DUGTRIO   |GROUND           |  35|  80|  50| 120|  50|  70|Rock Head   | -          |
 52|MEOWTH    |NORMAL           |  40|  45|  35|  90|  40|  40|Frisk       | -          |
 53|PERSIAN   |NORMAL           |  65|  70|  60| 115|  65|  65|Frisk       | -          |
 54|PSYDUCK   |WATER            |  50|  52|  48|  55|  65|  50|Thick Fat   |Swarm       |Stone Plate (common)
 55|GOLDUCK   |WATER            |  80|  82|  78|  85|  95|  80|Thick Fat   |Swarm       |Lagging Tail (common), TM86 (rare)
 56|MANKEY    |FIGHTING         |  40|  80|  35|  70|  35|  45|Storm Drain |Static      |Chesto Berry (rare)
 57|PRIMEAPE  |FIGHTING         |  65| 105|  60|  95|  60|  70|Storm Drain |Static      |
 58|GROWLITHE |FIRE             |  55|  70|  45|  60|  70|  50|Wonder Guard|Lightningrod|Parlyz Heal (100%)
 59|ARCANINE  |FIRE             |  90| 110|  80|  95| 100|  80|Wonder Guard|Lightningrod|TM37 (100%)
 60|POLIWAG   |WATER            |  40|  50|  40|  90|  40|  40|Wonder Guard|Blaze       |
 61|POLIWHIRL |WATER            |  65|  65|  65|  90|  50|  50|Wonder Guard|Blaze       |
 62|POLIWRATH |WATER/FIGHTING   |  90|  95|  95|  70|  70|  90|Motor Drive | -          |
 63|ABRA      |PSYCHIC          |  25|  20|  15|  90| 105|  55|Color Change| -          |
 64|KADABRA   |PSYCHIC          |  40|  35|  30| 105| 120|  70|Color Change| -          |Power Lens (rare)
 65|ALAKAZAM  |PSYCHIC          |  55|  50|  45| 120| 135|  95|Color Change| -          |
 66|MACHOP    |FIGHTING         |  70|  80|  50|  35|  35|  35|Swarm       |Multitype   |Chesto Berry (100%)
 67|MACHOKE   |FIGHTING         |  80| 100|  70|  45|  50|  60|Swarm       |Multitype   |Awakening (common)
 68|MACHAMP   |FIGHTING         |  90| 130|  80|  55|  65|  85|Swarm       |Multitype   |
 69|BELLSPROUT|GRASS/POISON     |  50|  75|  35|  40|  70|  30|Magic Guard |Soundproof  |Max Revive (rare)
 70|WEEPINBELL|GRASS/POISON     |  65|  90|  50|  55|  85|  45|Magic Guard |Soundproof  |
 71|VICTREEBEL|GRASS/POISON     |  80| 105|  65|  70| 100|  70|Magic Guard |Soundproof  |
 72|TENTACOOL |WATER/POISON     |  40|  40|  35|  70|  50| 100|Ice Body    |Shield Dust |King’s Rock (common)
 73|TENTACRUEL|WATER/POISON     |  80|  70|  65| 100|  80| 120|Ice Body    |Shield Dust |Max Repel (common)
 74|GEODUDE   |ROCK/GROUND      |  40|  80| 100|  20|  30|  30|Quick Feet  |Shell Armor |Luxury Ball (rare)
 75|GRAVELER  |ROCK/GROUND      |  55|  95| 115|  35|  45|  45|Quick Feet  |Shell Armor |
 76|GOLEM     |ROCK/GROUND      |  80| 120| 130|  45|  55|  65|Quick Feet  |Shell Armor |Exp. Share (common), Honey (rare)
 77|PONYTA    |FIRE             |  50|  85|  55|  90|  65|  65|Marvel Scale|Damp        |Moomoo Milk (common), TM83 (rare)
 78|RAPIDASH  |FIRE             |  65| 100|  70| 105|  80|  80|Marvel Scale|Damp        |Hard Stone (common)
 79|SLOWPOKE  |WATER/PSYCHIC    |  90|  65|  65|  15|  40|  40|Multitype   | -          |Leppa Berry (common), Zap Plate (rare)
 80|SLOWBRO   |WATER/PSYCHIC    |  95|  75| 110|  30| 100|  80|Magic Guard | -          |
 81|MAGNEMITE |ELECTRIC/STEEL   |  25|  35|  70|  45|  95|  55|Solar Power |White Smoke |
 82|MAGNETON  |ELECTRIC/STEEL   |  50|  60|  95|  70| 120|  70|Solar Power |White Smoke |Fist Plate (rare)
 83|FARFETCH’D|NORMAL/FLYING    |  52|  65|  55|  60|  58|  62|Speed Boost |Damp        |Cherish Ball (100%)
 84|DODUO     |NORMAL/FLYING    |  35|  85|  45|  75|  35|  35|Stench      |Mold Breaker|
 85|DODRIO    |NORMAL/FLYING    |  60| 110|  70| 100|  60|  60|Stench      |Mold Breaker|Dive Ball (rare)
 86|SEEL      |WATER            |  65|  45|  55|  45|  45|  70|Water Veil  |Vital Spirit|TM12 (common)
 87|DEWGONG   |WATER/ICE        |  90|  70|  80|  70|  70|  95|Water Veil  |Vital Spirit|TM68 (common)
 88|GRIMER    |POISON           |  80|  80|  50|  25|  40|  50|Magic Guard | -          |
 89|MUK       |POISON           | 105| 105|  75|  50|  65| 100|Magic Guard | -          |
 90|SHELLDER  |WATER            |  30|  65| 100|  40|  45|  25|Shed Skin   | -          |
 91|CLOYSTER  |WATER/ICE        |  50|  95| 180|  70|  85|  45|Shed Skin   | -          |Mind Plate (100%)
 92|GASTLY    |GHOST/POISON     |  30|  35|  30|  80| 100|  35|Synchronize |Hydration   |Mental Herb (common)
 93|HAUNTER   |GHOST/POISON     |  45|  50|  45|  95| 115|  55|Synchronize |Hydration   |Poké Doll (common)
 94|GENGAR    |GHOST/POISON     |  60|  65|  60| 110| 130|  75|Synchronize |Hydration   |TM70 (rare)
 95|ONIX      |ROCK/GROUND      |  35|  45| 160|  70|  30|  45|Chlorophyll |Slow Start  |Insect Plate (common), Quick Ball (rare)
 96|DROWZEE   |PSYCHIC          |  60|  48|  45|  42|  43|  90|Levitate    | -          |Poké Ball (common)
 97|HYPNO     |PSYCHIC          |  85|  73|  70|  67|  73| 115|Levitate    | -          |
 98|KRABBY    |WATER            |  30| 105|  90|  50|  25|  25|Wonder Guard|Storm Drain |
 99|KINGLER   |WATER            |  55| 130| 115|  75|  50|  50|Wonder Guard|Storm Drain |
100|VOLTORB   |ELECTRIC         |  40|  30|  50| 100|  55|  55|Download    |Marvel Scale|
101|ELECTRODE |ELECTRIC         |  60|  50|  70| 140|  80|  80|Download    |Marvel Scale|
102|EXEGGCUTE |GRASS/PSYCHIC    |  60|  40|  80|  40|  60|  45|Vital Spirit|Static      |
103|EXEGGUTOR |GRASS/PSYCHIC    |  95|  95|  85|  55| 125|  65|Vital Spirit|Static      |
104|CUBONE    |GROUND           |  50|  50|  95|  35|  40|  50|Overgrow    | -          |
105|MAROWAK   |GROUND           |  60|  80| 110|  45|  50|  80|Overgrow    | -          |Dusk Stone (common)
106|HITMONLEE |FIGHTING         |  50| 120|  53|  87|  35| 110|Tinted Lens |Gluttony    |
107|HITMONCHAN|FIGHTING         |  50| 105|  79|  76|  35| 110|Aftermath   |Rivalry     |Icy Rock (rare)
108|LICKITUNG |NORMAL           |  90|  55|  75|  30|  60|  75|No Guard    | -          |
109|KOFFING   |POISON           |  40|  65|  95|  35|  60|  45|Klutz       |Sturdy      |
110|WEEZING   |POISON           |  65|  90| 120|  60|  85|  70|Klutz       |Sturdy      |Green Shard (common)
111|RHYHORN   |GROUND/ROCK      |  80|  85|  95|  25|  30|  30|Storm Drain | -          |
112|RHYDON    |GROUND/ROCK      | 105| 130| 120|  40|  45|  45|Storm Drain | -          |
113|CHANSEY   |NORMAL           | 250|   5|   5|  50|  35| 105|Adaptability|Sand Veil   |TM18 (rare)
114|TANGELA   |GRASS            |  65|  55| 115|  60| 100|  40|Volt Absorb | -          |Shoal Shell (common), TM23 (rare)
115|KANGASKHAN|NORMAL           | 105|  95|  80|  90|  40|  80|Huge Power  | -          |
116|HORSEA    |WATER            |  30|  40|  70|  60|  70|  25|Serene Grace| -          |
117|SEADRA    |WATER            |  55|  65|  95|  85|  95|  45|Serene Grace| -          |Honey (common)
118|GOLDEEN   |WATER            |  45|  67|  60|  63|  35|  50|Flash Fire  | -          |
119|SEAKING   |WATER            |  80|  92|  65|  68|  65|  80|Flash Fire  | -          |
120|STARYU    |WATER            |  30|  45|  55|  85|  70|  55|Early Bird  |Quick Feet  |
121|STARMIE   |WATER/PSYCHIC    |  60|  75|  85| 115| 100|  85|Early Bird  |Quick Feet  |BlackGlasses (common)
122|MR. MIME  |PSYCHIC          |  40|  45|  65|  90| 100| 120|Stench      |Suction Cups|Dragon Scale (common), Spell Tag (rare)
123|SCYTHER   |BUG/FLYING       |  70| 110|  80| 105|  55|  80|Lightningrod|Own Tempo   |Energy Root (common), EnergyPowder (rare)
124|JYNX      |ICE/PSYCHIC      |  65|  50|  35|  95| 115|  95|Pickup      |Motor Drive |Quick Powder (100%)
125|ELECTABUZZ|ELECTRIC         |  65|  83|  57| 105|  95|  85|Wonder Guard|Gluttony    |
126|MAGMAR    |FIRE             |  65|  95|  57|  93| 100|  85|Scrappy     | -          |
127|PINSIR    |BUG              |  65| 125| 100|  85|  55|  70|Rain Dish   | -          |TM92 (100%)
128|TAUROS    |NORMAL           |  75| 100|  95| 110|  40|  70|Effect Spore| -          |Persim Berry (common)
129|MAGIKARP  |WATER            |  20|  10|  55|  80|  15|  20|Solid Rock  |Shield Dust |Shell Bell (common), Earth Plate (rare)
130|GYARADOS  |WATER/FLYING     |  95| 125|  79|  81|  60| 100|Solid Rock  |Shield Dust |
131|LAPRAS    |WATER/ICE        | 130|  85|  80|  60|  85|  95|Shield Dust | -          |
132|DITTO     |NORMAL           |  48|  48|  48|  48|  48|  48|Sturdy      |Filter      |Root Fossil (common)
133|EEVEE     |NORMAL           |  55|  55|  50|  55|  45|  65|Normalize   | -          |
134|VAPOREON  |WATER            | 130|  65|  60|  65| 110|  95|Intimidate  | -          |
135|JOLTEON   |ELECTRIC         |  65|  65|  60| 130| 110|  95|White Smoke |Water Absorb|
136|FLAREON   |FIRE             |  65| 130|  60|  65|  95| 110|Rivalry     | -          |Flame Orb (common), TM56 (rare)
137|PORYGON   |NORMAL           |  65|  60|  70|  40|  85|  75|Pure Power  | -          |
138|OMANYTE   |ROCK/WATER       |  35|  40| 100|  35|  90|  55|Oblivious   | -          |
139|OMASTAR   |ROCK/WATER       |  70|  60| 125|  55| 115|  70|Oblivious   | -          |Wide Lens (100%)
140|KABUTO    |ROCK/WATER       |  30|  80|  90|  55|  55|  45|Water Veil  | -          |Iron (rare)
141|KABUTOPS  |ROCK/WATER       |  60| 115| 105|  80|  65|  70|Water Veil  | -          |
142|AERODACTYL|ROCK/FLYING      |  80| 105|  65| 130|  60|  75|Guts        | -          |X Defend (100%)
143|SNORLAX   |NORMAL           | 160| 110|  65|  30|  65| 110|Water Veil  |Honey Gather|Meadow Plate (100%)
144|ARTICUNO  |ICE/FLYING       |  90|  85| 100|  85|  95| 125|Skill Link  | -          |TM47 (rare)
145|ZAPDOS    |ELECTRIC/FLYING  |  90|  90|  85| 100| 125|  90|Intimidate  | -          |Sharp Beak (common)
146|MOLTRES   |FIRE/FLYING      |  90| 100|  90|  90| 125|  85|Dry Skin    | -          |
147|DRATINI   |DRAGON           |  41|  64|  45|  50|  50|  50|Torrent     |Mold Breaker|X Attack (common)
148|DRAGONAIR |DRAGON           |  61|  84|  65|  70|  70|  70|Torrent     |Mold Breaker|
149|DRAGONITE |DRAGON/FLYING    |  91| 134|  95|  80| 100| 100|Torrent     |Mold Breaker|X Special (common), Mind Plate (rare)
150|MEWTWO    |PSYCHIC          | 106| 110|  90| 130| 154|  90|Wonder Guard|Rain Dish   |Earth Plate (common), EnergyPowder (rare)
151|MEW       |PSYCHIC          | 100| 100| 100| 100| 100| 100|Hyper Cutter| -          |Fresh Water (100%)
152|CHIKORITA |GRASS            |  45|  49|  65|  45|  49|  65|Anticipation|Clear Body  |Shell Bell (common), TM53 (rare)
153|BAYLEEF   |GRASS            |  60|  62|  80|  60|  63|  80|Anticipation|Clear Body  |Full Restore (common)
154|MEGANIUM  |GRASS            |  80|  82| 100|  80|  83| 100|Anticipation|Clear Body  |
155|CYNDAQUIL |FIRE             |  39|  52|  43|  65|  60|  50|Skill Link  | -          |
156|QUILAVA   |FIRE             |  58|  64|  58|  80|  80|  65|Skill Link  | -          |
157|TYPHLOSION|FIRE             |  78|  84|  78| 100| 109|  85|Skill Link  | -          |X Speed (common)
158|TOTODILE  |WATER            |  50|  65|  64|  43|  44|  48|Pressure    | -          |
159|CROCONAW  |WATER            |  65|  80|  80|  58|  59|  63|Pressure    | -          |
160|FERALIGATR|WATER            |  85| 105| 100|  78|  79|  83|Pressure    | -          |
161|SENTRET   |NORMAL           |  35|  46|  34|  20|  35|  45|Klutz       | -          |Icy Rock (common)
162|FURRET    |NORMAL           |  85|  76|  64|  90|  45|  55|Klutz       | -          |
163|HOOTHOOT  |NORMAL/FLYING    |  60|  30|  30|  50|  36|  56|Adaptability| -          |
164|NOCTOWL   |NORMAL/FLYING    | 100|  50|  50|  70|  76|  96|Adaptability| -          |Soft Sand (rare)
165|LEDYBA    |BUG/FLYING       |  40|  20|  30|  55|  40|  80|Scrappy     |Plus        |
166|LEDIAN    |BUG/FLYING       |  55|  35|  50|  85|  55| 110|Scrappy     |Plus        |White Herb (common)
167|SPINARAK  |BUG/POISON       |  40|  60|  40|  30|  40|  40|Poison Heal |Minus       |
168|ARIADOS   |BUG/POISON       |  70|  90|  70|  40|  60|  60|Poison Heal |Minus       |Heart Scale (common)
169|CROBAT    |POISON/FLYING    |  85|  90|  80| 130|  70|  80|Sand Veil   |Scrappy     |
170|CHINCHOU  |WATER/ELECTRIC   |  75|  38|  38|  67|  56|  56|Own Tempo   |Limber      |Max Ether (100%)
171|LANTURN   |WATER/ELECTRIC   | 125|  58|  58|  67|  76|  76|Own Tempo   |Limber      |TM45 (common)
172|PICHU     |ELECTRIC         |  20|  40|  15|  60|  35|  35|Dry Skin    |Rock Head   |Leppa Berry (common)
173|CLEFFA    |NORMAL           |  50|  25|  28|  15|  45|  55|Shed Skin   | -          |TM23 (common), TM62 (rare)
174|IGGLYBUFF |NORMAL           |  90|  30|  15|  15|  40|  20|Minus       | -          |
175|TOGEPI    |NORMAL           |  35|  20|  65|  20|  40|  65|Shed Skin   | -          |TM12 (common), Repeat Ball (rare)
176|TOGETIC   |NORMAL/FLYING    |  55|  40|  85|  40|  80| 105|Shed Skin   | -          |Rock Incense (common), TM18 (rare)
177|NATU      |PSYCHIC/FLYING   |  40|  50|  45|  70|  70|  45|Synchronize | -          |
178|XATU      |PSYCHIC/FLYING   |  65|  75|  70|  95|  95|  70|Synchronize | -          |
179|MAREEP    |ELECTRIC         |  55|  40|  40|  35|  65|  45|Flame Body  |Download    |TM13 (common), SilverPowder (rare)
180|FLAAFFY   |ELECTRIC         |  70|  55|  55|  45|  80|  60|Flame Body  |Download    |Awakening (common), Earth Plate (rare)
181|AMPHAROS  |ELECTRIC         |  90|  75|  85|  55| 115|  90|Flame Body  |Download    |
182|BELLOSSOM |GRASS            |  75|  80|  95|  50|  90| 100|Heatproof   |Color Change|Metronome (common), Choice Band (rare)
183|MARILL    |WATER            |  70|  20|  50|  40|  20|  50|Immunity    |Ice Body    |Draco Plate (rare)
184|AZUMARILL |WATER            | 100|  50|  80|  50|  60|  80|Immunity    |Ice Body    |
185|SUDOWOODO |ROCK             |  70| 100| 115|  30|  30|  65|Torrent     | -          |
186|POLITOED  |WATER            |  90|  75|  75|  70|  90| 100|Tangled Feet| -          |
187|HOPPIP    |GRASS/FLYING     |  35|  35|  40|  50|  35|  55|Snow Warning| -          |
188|SKIPLOOM  |GRASS/FLYING     |  55|  45|  50|  80|  45|  65|Snow Warning| -          |
189|JUMPLUFF  |GRASS/FLYING     |  75|  55|  70| 110|  55|  95|Snow Warning| -          |Electirizer (common)
190|AIPOM     |NORMAL           |  55|  70|  55|  85|  40|  55|Illuminate  |Battle Armor|
191|SUNKERN   |GRASS            |  30|  30|  30|  30|  30|  30|Forecast    |Speed Boost |
192|SUNFLORA  |GRASS            |  75|  75|  55|  30| 105|  85|Forecast    |Speed Boost |Guard Spec. (rare)
193|YANMA     |BUG/FLYING       |  65|  65|  45|  95|  75|  45|Snow Cloak  | -          |
194|WOOPER    |WATER/GROUND     |  55|  45|  45|  15|  25|  25|Mold Breaker|Air Lock    |
195|QUAGSIRE  |WATER/GROUND     |  95|  85|  85|  35|  65|  65|Mold Breaker|Air Lock    |
196|ESPEON    |PSYCHIC          |  65|  65|  60| 110| 130|  95|Reckless    |Technician  |
197|UMBREON   |DARK             |  95|  65| 110|  65|  60| 130|Super Luck  | -          |TM32 (rare)
198|MURKROW   |DARK/FLYING      |  60|  85|  42|  91|  85|  42|Magic Guard | -          |Soft Sand (common), TM63 (rare)
199|SLOWKING  |WATER/PSYCHIC    |  95|  75|  80|  30| 100| 110|Adaptability| -          |TM35 (rare)
200|MISDREAVUS|GHOST            |  60|  60|  60|  85|  85|  85|Battle Armor| -          |
201|UNOWN     |PSYCHIC          |  48|  72|  48|  48|  72|  48|Snow Cloak  |Trace       |
202|WOBBUFFET |PSYCHIC          | 190|  33|  58|  33|  33|  58|Serene Grace|Poison Heal |
203|GIRAFARIG |NORMAL/PSYCHIC   |  70|  80|  65|  85|  90|  65|Suction Cups| -          |
204|PINECO    |BUG              |  50|  65|  90|  15|  35|  35|Solar Power |Color Change|
205|FORRETRESS|BUG/STEEL        |  75|  90| 140|  40|  60|  60|Solar Power |Color Change|
206|DUNSPARCE |NORMAL           | 100|  70|  70|  45|  65|  65|Storm Drain | -          |
207|GLIGAR    |GROUND/FLYING    |  65|  75| 105|  85|  35|  65|Drizzle     |Heatproof   |Smooth Rock (common)
208|STEELIX   |STEEL/GROUND     |  75|  85| 200|  30|  55|  65|Chlorophyll |Slow Start  |
209|SNUBBULL  |NORMAL           |  60|  80|  50|  30|  40|  40|Levitate    |Guts        |Yellow Flute (rare)
210|GRANBULL  |NORMAL           |  90| 120|  75|  45|  60|  60|Levitate    |Guts        |
211|QWILFISH  |WATER/POISON     |  65|  95|  75|  85|  55|  55|Motor Drive | -          |
212|SCIZOR    |BUG/STEEL        |  70| 130| 100|  65|  55|  80|Lightningrod|Own Tempo   |
213|SHUCKLE   |BUG/ROCK         |  20|  10| 230|   5|  10| 230|Flower Gift | -          |Luxury Ball (common), TM38 (rare)
214|HERACROSS |BUG/FIGHTING     |  80| 125|  75|  85|  40|  95|Hydration   |Flower Gift |Escape Rope (common), Full Restore (rare)
215|SNEASEL   |DARK/ICE         |  55|  95|  55| 115|  35|  75|Color Change| -          |TM55 (common)
216|TEDDIURSA |NORMAL           |  60|  80|  50|  40|  50|  50|Illuminate  | -          |Soda Pop (100%)
217|URSARING  |NORMAL           |  90| 130|  75|  55|  75|  75|Illuminate  | -          |Full Incense (common)
218|SLUGMA    |FIRE             |  40|  40|  40|  20|  70|  40|Snow Warning| -          |Grip Claw (rare)
219|MAGCARGO  |FIRE/ROCK        |  50|  50| 120|  30|  80|  80|Snow Warning| -          |TM89 (common), Magnet (rare)
220|SWINUB    |ICE/GROUND       |  50|  50|  40|  50|  30|  30|Magic Guard | -          |TM50 (rare)
221|PILOSWINE |ICE/GROUND       | 100| 100|  80|  50|  60|  60|Magic Guard | -          |
222|CORSOLA   |WATER/ROCK       |  55|  55|  85|  35|  65|  85|Rock Head   | -          |TM22 (100%)
223|REMORAID  |WATER            |  35|  65|  35|  65|  65|  35|Forecast    | -          |Max Potion (rare)
224|OCTILLERY |WATER            |  75| 105|  75|  45| 105|  75|Forecast    | -          |Dubious Disc (common)
225|DELIBIRD  |ICE/FLYING       |  45|  55|  45|  75|  65|  45|Stall       | -          |
226|MANTINE   |WATER/FLYING     |  65|  40|  70|  70|  80| 140|Leaf Guard  | -          |Premier Ball (common), TM17 (rare)
227|SKARMORY  |STEEL/FLYING     |  65|  80| 140|  70|  40|  70|Super Luck  | -          |Max Ether (common), EnergyPowder (rare)
228|HOUNDOUR  |DARK/FIRE        |  45|  60|  30|  65|  80|  50|Intimidate  |Limber      |
229|HOUNDOOM  |DARK/FIRE        |  75|  90|  50|  95| 110|  80|Intimidate  |Limber      |Mind Plate (common), Old Amber (rare)
230|KINGDRA   |WATER/DRAGON     |  75|  95|  95|  85|  95|  95|Serene Grace| -          |
231|PHANPY    |GROUND           |  90|  60|  60|  40|  40|  40|Steadfast   |Tangled Feet|Repeat Ball (common), Max Revive (rare)
232|DONPHAN   |GROUND           |  90| 120| 120|  50|  60|  60|Steadfast   |Tangled Feet|Wave Incense (rare)
233|PORYGON2  |NORMAL           |  85|  80|  90|  60| 105|  95|Pure Power  | -          |Dragon Fang (rare)
234|STANTLER  |NORMAL           |  73|  95|  62|  85|  85|  65|Illuminate  | -          |
235|SMEARGLE  |NORMAL           |  55|  20|  35|  75|  20|  45|Honey Gather| -          |
236|TYROGUE   |FIGHTING         |  35|  35|  35|  35|  35|  35|Stench      | -          |
237|HITMONTOP |FIGHTING         |  50|  95|  95|  70|  35| 110|Stall       | -          |Dusk Ball (rare)
238|SMOOCHUM  |ICE/PSYCHIC      |  45|  30|  15|  65|  85|  65|Pickup      |Motor Drive |Meadow Plate (100%)
239|ELEKID    |ELECTRIC         |  45|  63|  37|  95|  65|  55|Wonder Guard|Gluttony    |
240|MAGBY     |FIRE             |  45|  75|  37|  83|  70|  55|Scrappy     | -          |Skull Fossil (common)
241|MILTANK   |NORMAL           |  95|  80| 105| 100|  40|  70|Reckless    | -          |TM17 (100%)
242|BLISSEY   |NORMAL           | 255|  10|  10|  55|  75| 135|Adaptability|Sand Veil   |Choice Band (common)
243|RAIKOU    |ELECTRIC         |  90|  85|  75| 115| 115| 100|Effect Spore| -          |TM73 (rare)
244|ENTEI     |FIRE             | 115| 115|  85| 100|  90|  75|Ice Body    | -          |Yellow Flute (rare)
245|SUICUNE   |WATER            | 100|  75| 115|  85|  90| 115|Water Absorb|Bad Dreams  |
246|LARVITAR  |ROCK/GROUND      |  50|  64|  50|  41|  45|  50|Unburden    |Intimidate  |Moon Stone (rare)
247|PUPITAR   |ROCK/GROUND      |  70|  84|  70|  51|  65|  70|Unburden    |Intimidate  |TM46 (rare)
248|TYRANITAR |ROCK/DARK        | 100| 134| 110|  61|  95| 100|Unburden    |Intimidate  |
